"id","year","active_year","type_of_violence","conflict_new_id","conflict_name","dyad_new_id","dyad_name","side_a_new_id","gwnoa","side_a","side_b_new_id","gwnob","side_b","number_of_sources","source_article","source_office","source_date","source_headline","source_original","where_prec","where_coordinates","adm_1","adm_2","latitude","longitude","geom_wkt","priogrid_gid","country","country_id","region","event_clarity","date_prec","date_start","date_end","deaths_a","deaths_b","deaths_civilians","deaths_unknown","low","best","high"
51467,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",1,"""Amnesty International ,1753-01-01,No place to hide""","Amnesty International ",1753-01-01,"No place to hide","",6,"Myanmar (Burma)","","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",1,4,"1994-07-01","1994-07-31",0,0,1,0,1,1,1
50455,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",5,"Tachilek Township","Shan State","Tachilek District",20.4475,99.880833,"POINT (99.880833 20.447500)",158960,"Myanmar (Burma)",775,"Asia",1,1,"1994-07-10","1994-07-10",0,0,2,0,2,2,2
51201,1995,0,1,224,"Myanmar (Burma):Mon",445,"Government of Myanmar (Burma) - NMSP",144,"775","Government of Myanmar (Burma)",190,NA,"NMSP",-1,"Bangkok Post 21/1 95","",NA,"","",6,"Myanmar (Burma)","","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",1,1,"1995-01-29","1995-01-29",1,0,0,3,4,4,4
50292,1994,1,1,264,"Myanmar (Burma):Shan",549,"Government of Myanmar (Burma) - MTA",144,"775","Government of Myanmar (Burma)",255,NA,"MTA",-1,"R 12/7 1994","",NA,"","MTA sources",4,"Shan State","Shan State","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",1,1,"1994-07-12","1994-07-12",0,0,2,0,2,2,2
51750,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 17/7 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-07-16","1994-07-16",0,2,1,0,3,3,3
49373,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",4,"Mon State","Mon State","",16.25,97.75,"POINT (97.750000 16.250000)",153196,"Myanmar (Burma)",775,"Asia",1,1,"1994-08-05","1994-08-05",0,0,1,0,1,1,1
49866,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",6,"Myanmar (Burma)","","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",1,1,"1994-08-17","1994-08-17",0,0,1,0,1,1,1
50304,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",4,"Shan State","Shan State","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",1,1,"1994-08-18","1994-08-18",0,0,1,0,1,1,1
49979,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",6,"Myanmar (Burma)","","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",1,1,"1994-08-22","1994-08-22",0,0,1,0,1,1,1
50191,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",4,"Rakhine State","Rakhine State","",19,94.25,"POINT (94.250000 19.000000)",157509,"Myanmar (Burma)",775,"Asia",1,3,"1994-09-02","1994-09-08",0,0,1,0,1,1,1
