idnum	idacr	year	pop	source
160	ARG	1945	15400.00	0
160	ARG	1946	15650.00	0
160	ARG	1947	15930.00	0
160	ARG	1948	16284.00	0
160	ARG	1949	16671.00	0
160	ARG	1950	17150.00	0
160	ARG	1951	17468.00	0
160	ARG	1952	17824.00	0
160	ARG	1953	18194.00	0
160	ARG	1954	18564.00	0
160	ARG	1955	18928.00	0
160	ARG	1956	19281.00	0
160	ARG	1957	19625.00	0
160	ARG	1958	19961.00	0
160	ARG	1959	20289.00	0
160	ARG	1960	20616.00	0
160	ARG	1961	20951.00	0
160	ARG	1962	21284.00	0
160	ARG	1963	21616.00	0
160	ARG	1964	21949.00	0
160	ARG	1965	22283.00	0
160	ARG	1966	22612.00	0
160	ARG	1967	22934.00	0
160	ARG	1968	23261.00	0
160	ARG	1969	23600.00	0
160	ARG	1970	23963.00	0
160	ARG	1971	24354.00	0
160	ARG	1972	24770.00	0
160	ARG	1973	25198.00	0
160	ARG	1974	25628.00	0
160	ARG	1975	26049.00	0
160	ARG	1976	26458.00	0
160	ARG	1977	26862.00	0
160	ARG	1978	27266.00	0
160	ARG	1979	27675.00	0
160	ARG	1980	28094.00	0
160	ARG	1981	28525.00	0
160	ARG	1982	28966.00	0
160	ARG	1983	29412.00	0
160	ARG	1984	29859.00	0
160	ARG	1985	30305.00	0
160	ARG	1986	30748.00	0
160	ARG	1987	31192.00	0
160	ARG	1988	31636.00	0
160	ARG	1989	32081.00	0
160	ARG	1990	32527.00	0
160	ARG	1991	32974.00	0
160	ARG	1992	33421.00	0
160	ARG	1993	33869.00	0
160	ARG	1994	34318.00	0
160	ARG	1995	34768.00	0
160	ARG	1996	35220.00	0
160	ARG	1997	35672.00	0
160	ARG	1998	36123.00	0
160	ARG	1999	36577.00	0
160	ARG	2000	37032.00	0
160	ARG	2001	37037.00	0
160	ARG	2002	37042.00	3
160	ARG	2003	37047.00	3
160	ARG	2004	37052.00	3
165	URU	1830	171.61	2
165	URU	1831	169.00	2
165	URU	1832	166.44	2
165	URU	1833	163.91	2
165	URU	1834	161.42	2
165	URU	1835	158.97	2
165	URU	1836	156.55	2
165	URU	1837	154.17	2
165	URU	1838	151.83	2
165	URU	1839	149.52	2
165	URU	1840	147.25	2
165	URU	1841	145.02	2
165	URU	1842	142.81	2
165	URU	1843	140.64	2
165	URU	1844	138.51	2
165	URU	1845	136.40	2
165	URU	1846	134.33	2
165	URU	1847	132.29	2
165	URU	1848	130.28	2
165	URU	1849	128.30	1
165	URU	1850	136.87	2
165	URU	1851	146.02	2
165	URU	1852	155.78	2
165	URU	1853	166.19	2
165	URU	1854	177.30	1
165	URU	1855	184.68	2
165	URU	1856	192.37	2
165	URU	1857	200.37	2
165	URU	1858	208.71	2
165	URU	1859	217.40	1
165	URU	1860	241.00	1
165	URU	1861	259.54	2
165	URU	1862	279.50	2
165	URU	1863	301.00	1
165	URU	1864	316.52	2
165	URU	1865	332.84	2
165	URU	1866	350.00	1
165	URU	1867	359.00	2
165	URU	1868	368.23	2
165	URU	1869	377.69	2
165	URU	1870	387.40	1
165	URU	1871	396.45	2
165	URU	1872	405.72	2
165	URU	1873	415.20	2
165	URU	1874	424.91	2
165	URU	1875	434.84	2
165	URU	1876	445.00	1
165	URU	1877	443.29	2
165	URU	1878	441.59	2
165	URU	1879	439.89	2
165	URU	1880	438.20	1
165	URU	1881	464.08	2
165	URU	1882	505.00	0
165	URU	1883	522.00	0
165	URU	1884	560.00	0
165	URU	1885	572.00	0
165	URU	1886	596.00	0
165	URU	1887	614.00	0
165	URU	1888	648.00	0
165	URU	1889	684.00	0
165	URU	1890	707.00	0
165	URU	1891	729.00	0
165	URU	1892	752.00	0
165	URU	1893	775.00	0
165	URU	1894	799.00	0
165	URU	1895	824.00	0
165	URU	1896	849.00	0
165	URU	1897	876.00	0
165	URU	1898	903.00	0
165	URU	1899	931.00	0
165	URU	1900	960.00	0
165	URU	1901	970.00	0
165	URU	1902	900.00	0
165	URU	1903	1020.00	0
165	URU	1904	1040.00	0
165	URU	1905	1070.00	0
165	URU	1906	1100.00	0
165	URU	1907	1140.00	0
165	URU	1908	1050.00	0
165	URU	1909	1100.00	0
165	URU	1910	1130.00	0
165	URU	1911	1180.00	0
165	URU	1912	1230.00	0
165	URU	1913	1280.00	0
165	URU	1914	1320.00	0
165	URU	1915	1350.00	0
165	URU	1916	1380.00	0
165	URU	1917	1410.00	0
165	URU	1918	1430.00	0
165	URU	1919	1460.00	0
165	URU	1920	1480.00	0
165	URU	1921	1500.00	0
165	URU	1922	1520.00	0
165	URU	1923	1540.00	0
165	URU	1924	1550.00	0
165	URU	1925	1570.00	0
165	URU	1926	1600.00	0
165	URU	1927	1630.00	0
165	URU	1928	1670.00	0
165	URU	1929	1700.00	0
165	URU	1930	1730.00	0
165	URU	1931	1760.00	0
165	URU	1932	1790.00	0
165	URU	1933	1820.00	0
165	URU	1934	1840.00	0
165	URU	1935	1870.00	0
165	URU	1936	1890.00	0
165	URU	1937	1910.00	0
165	URU	1938	1930.00	0
165	URU	1939	1950.00	0
165	URU	1940	1970.00	0
165	URU	1941	1990.00	0
165	URU	1942	2010.00	0
165	URU	1943	2030.00	0
165	URU	1944	2060.00	0
165	URU	1945	2080.00	0
165	URU	1946	2100.00	0
165	URU	1947	2120.00	0
165	URU	1948	2136.00	0
165	URU	1949	2165.00	0
165	URU	1950	2196.00	0
165	URU	1951	2229.00	0
165	URU	1952	2262.00	0
165	URU	1953	2297.00	0
165	URU	1954	2332.00	0
165	URU	1955	2367.00	0
165	URU	1956	2402.00	0
165	URU	1957	2437.00	0
165	URU	1958	2471.00	0
165	URU	1959	2505.00	0
165	URU	1960	2538.00	0
165	URU	1961	2570.00	0
165	URU	1962	2603.00	0
165	URU	1963	2635.00	0
165	URU	1964	2665.00	0
165	URU	1965	2693.00	0
165	URU	1966	2721.00	0
165	URU	1967	2747.00	0
165	URU	1968	2771.00	0
165	URU	1969	2792.00	0
165	URU	1970	2808.00	0
165	URU	1971	2818.00	0
165	URU	1972	2820.00	0
165	URU	1973	2821.00	0
165	URU	1974	2822.00	0
165	URU	1975	2829.00	0
165	URU	1976	2845.00	0
165	URU	1977	2862.00	0
165	URU	1978	2879.00	0
165	URU	1979	2896.00	0
165	URU	1980	2914.00	0
165	URU	1981	2932.00	0
165	URU	1982	2951.00	0
165	URU	1983	2970.00	0
165	URU	1984	2989.00	0
165	URU	1985	3008.00	0
165	URU	1986	3025.00	0
165	URU	1987	3042.00	0
165	URU	1988	3060.00	0
165	URU	1989	3077.00	0
165	URU	1990	3094.00	0
165	URU	1991	3112.00	0
165	URU	1992	3130.00	0
165	URU	1993	3149.00	0
165	URU	1994	3167.00	0
165	URU	1995	3186.00	0
165	URU	1996	3203.00	0
165	URU	1997	3221.00	0
165	URU	1998	3289.00	0
165	URU	1999	3313.00	0
165	URU	2000	3337.00	0
165	URU	2001	3337.00	0
165	URU	2002	3383.75	3
165	URU	2003	3407.66	3
165	URU	2004	3431.74	3
200	UKG	1816	19520.00	0
200	UKG	1817	19814.00	0
200	UKG	1818	20105.00	0
200	UKG	1819	20389.00	0
200	UKG	1820	20686.00	0
200	UKG	1821	21008.00	0
200	UKG	1822	21339.00	0
200	UKG	1823	21666.00	0
200	UKG	1824	21978.00	0
200	UKG	1825	22281.00	0
200	UKG	1826	22576.00	0
200	UKG	1827	22872.00	0
200	UKG	1828	23190.00	0
200	UKG	1829	23505.00	0
200	UKG	1830	23815.00	0
200	UKG	1831	24135.00	0
200	UKG	1832	24373.00	0
200	UKG	1833	24602.00	0
200	UKG	1834	24862.00	0
200	UKG	1835	25134.00	0
200	UKG	1836	25316.00	0
200	UKG	1837	25651.00	0
200	UKG	1838	25904.00	0
200	UKG	1839	26199.00	0
200	UKG	1840	26488.00	0
200	UKG	1841	26751.00	0
200	UKG	1842	27004.00	0
200	UKG	1843	27256.00	0
200	UKG	1844	27525.00	0
200	UKG	1845	27776.00	0
200	UKG	1846	28002.00	0
200	UKG	1847	27972.00	0
200	UKG	1848	27820.00	0
200	UKG	1849	27714.00	0
200	UKG	1850	27524.00	0
200	UKG	1851	27393.00	0
200	UKG	1852	27448.00	0
200	UKG	1853	27542.00	0
200	UKG	1854	27658.00	0
200	UKG	1855	27822.00	0
200	UKG	1856	28011.00	0
200	UKG	1857	28187.00	0
200	UKG	1858	28390.00	0
200	UKG	1859	28591.00	0
200	UKG	1860	28778.00	0
200	UKG	1861	28976.00	0
200	UKG	1862	29245.00	0
200	UKG	1863	29471.00	0
200	UKG	1864	29681.00	0
200	UKG	1865	29925.00	0
200	UKG	1866	30148.00	0
200	UKG	1867	30409.00	0
200	UKG	1868	30690.00	0
200	UKG	1869	30978.00	0
200	UKG	1870	31257.00	0
200	UKG	1871	31556.00	0
200	UKG	1872	31874.00	0
200	UKG	1873	32177.00	0
200	UKG	1874	32501.00	0
200	UKG	1875	32839.00	0
200	UKG	1876	33200.00	0
200	UKG	1877	33576.00	0
200	UKG	1878	33943.00	0
200	UKG	1879	34304.00	0
200	UKG	1880	34623.00	0
200	UKG	1881	34934.00	0
200	UKG	1882	35206.00	0
200	UKG	1883	35450.00	0
200	UKG	1884	35724.00	0
200	UKG	1885	36015.00	0
200	UKG	1886	36313.00	0
200	UKG	1887	36598.00	0
200	UKG	1888	36881.00	0
200	UKG	1889	37178.00	0
200	UKG	1890	37485.00	0
200	UKG	1891	37802.00	0
200	UKG	1892	38134.00	0
200	UKG	1893	38490.00	0
200	UKG	1894	38859.00	0
200	UKG	1895	39221.00	0
200	UKG	1896	39599.00	0
200	UKG	1897	39987.00	0
200	UKG	1898	40381.00	0
200	UKG	1899	40774.00	0
200	UKG	1900	41155.00	0
200	UKG	1901	41538.00	0
200	UKG	1902	41893.00	0
200	UKG	1903	42247.00	0
200	UKG	1904	42610.00	0
200	UKG	1905	42981.00	0
200	UKG	1906	43360.00	0
200	UKG	1907	43736.00	0
200	UKG	1908	44124.00	0
200	UKG	1909	44520.00	0
200	UKG	1910	44916.00	0
200	UKG	1911	45286.00	0
200	UKG	1912	45436.00	0
200	UKG	1913	45648.00	0
200	UKG	1914	46048.00	0
200	UKG	1915	44333.00	0
200	UKG	1916	43710.00	0
200	UKG	1917	43280.00	0
200	UKG	1918	43116.00	0
200	UKG	1919	44599.00	0
200	UKG	1920	46472.00	0
200	UKG	1921	47168.00	0
200	UKG	1922	44372.00	0
200	UKG	1923	44596.00	0
200	UKG	1924	44915.00	0
200	UKG	1925	45059.00	0
200	UKG	1926	45232.00	0
200	UKG	1927	45389.00	0
200	UKG	1928	45578.00	0
200	UKG	1929	45672.00	0
200	UKG	1930	45866.00	0
200	UKG	1931	46074.00	0
200	UKG	1932	46335.00	0
200	UKG	1933	46520.00	0
200	UKG	1934	46666.00	0
200	UKG	1935	46869.00	0
200	UKG	1936	47081.00	0
200	UKG	1937	47289.00	0
200	UKG	1938	48404.00	0
200	UKG	1939	47762.00	0
200	UKG	1940	48226.00	0
200	UKG	1941	48216.00	0
200	UKG	1942	48400.00	0
200	UKG	1943	48789.00	0
200	UKG	1944	49016.00	0
200	UKG	1945	49182.00	0
200	UKG	1946	49217.00	0
200	UKG	1947	49520.00	0
200	UKG	1948	50026.00	0
200	UKG	1949	50324.00	0
200	UKG	1950	50616.00	0
200	UKG	1951	50562.00	0
200	UKG	1952	50723.00	0
200	UKG	1953	50862.00	0
200	UKG	1954	51046.00	0
200	UKG	1955	51199.00	0
200	UKG	1956	51406.00	0
200	UKG	1957	51632.00	0
200	UKG	1958	51842.00	0
200	UKG	1959	52128.00	0
200	UKG	1960	52372.00	0
200	UKG	1961	52807.00	0
200	UKG	1962	53292.00	0
200	UKG	1963	53625.00	0
200	UKG	1964	53991.00	0
200	UKG	1965	54350.00	0
200	UKG	1966	54643.00	0
200	UKG	1967	54959.00	0
200	UKG	1968	55214.00	0
200	UKG	1969	55461.00	0
200	UKG	1970	55632.00	0
200	UKG	1971	55928.00	0
200	UKG	1972	56097.00	0
200	UKG	1973	56223.00	0
200	UKG	1974	56236.00	0
200	UKG	1975	56226.00	0
200	UKG	1976	56216.00	0
200	UKG	1977	56190.00	0
200	UKG	1978	56178.00	0
200	UKG	1979	56240.00	0
200	UKG	1980	56330.00	0
200	UKG	1981	56352.00	0
200	UKG	1982	56318.00	0
200	UKG	1983	56377.00	0
200	UKG	1984	56506.00	0
200	UKG	1985	56685.00	0
200	UKG	1986	56852.00	0
200	UKG	1987	57009.00	0
200	UKG	1988	57158.00	0
200	UKG	1989	57358.00	0
200	UKG	1990	57561.00	0
200	UKG	1991	57801.00	0
200	UKG	1992	58006.00	0
200	UKG	1993	58191.00	0
200	UKG	1994	58395.00	0
200	UKG	1995	58606.00	0
200	UKG	1996	58801.00	0
200	UKG	1997	58200.00	0
200	UKG	1998	58649.00	0
200	UKG	1999	58744.00	0
200	UKG	2000	58830.00	0
200	UKG	2001	58832.00	0
200	UKG	2002	58834.00	3
200	UKG	2003	58836.00	3
200	UKG	2004	58838.00	3
205	IRE	1921	3030.02	3
205	IRE	1922	3022.00	0
205	IRE	1923	3014.00	0
205	IRE	1924	3005.00	0
205	IRE	1925	2985.00	0
205	IRE	1926	2972.00	0
205	IRE	1927	2957.00	0
205	IRE	1928	2944.00	0
205	IRE	1929	2937.00	0
205	IRE	1930	2927.00	0
205	IRE	1931	2933.00	0
205	IRE	1932	2949.00	0
205	IRE	1933	2962.00	0
205	IRE	1934	2971.00	0
205	IRE	1935	2971.00	0
205	IRE	1936	2963.00	0
205	IRE	1937	2950.00	0
205	IRE	1938	2940.00	0
205	IRE	1939	2930.00	0
205	IRE	1940	2960.00	0
205	IRE	1941	2990.00	0
205	IRE	1942	2960.00	0
205	IRE	1943	2950.00	0
205	IRE	1944	2940.00	0
205	IRE	1945	2950.00	0
205	IRE	1946	2960.00	0
205	IRE	1947	2970.00	0
205	IRE	1948	2985.00	0
205	IRE	1949	2981.00	0
205	IRE	1950	2969.00	0
205	IRE	1951	2961.00	0
205	IRE	1952	2953.00	0
205	IRE	1953	2949.00	0
205	IRE	1954	2941.00	0
205	IRE	1955	2921.00	0
205	IRE	1956	2898.00	0
205	IRE	1957	2885.00	0
205	IRE	1958	2853.00	0
205	IRE	1959	2846.00	0
205	IRE	1960	2832.00	0
205	IRE	1961	2818.00	0
205	IRE	1962	2830.00	0
205	IRE	1963	2850.00	0
205	IRE	1964	2864.00	0
205	IRE	1965	2876.00	0
205	IRE	1966	2884.00	0
205	IRE	1967	2900.00	0
205	IRE	1968	2922.00	0
205	IRE	1969	2926.00	0
205	IRE	1970	2950.00	0
205	IRE	1971	2978.00	0
205	IRE	1972	3024.00	0
205	IRE	1973	3073.00	0
205	IRE	1974	3124.00	0
205	IRE	1975	3177.00	0
205	IRE	1976	3228.00	0
205	IRE	1977	3272.00	0
205	IRE	1978	3314.00	0
205	IRE	1979	3368.00	0
205	IRE	1980	3401.00	0
205	IRE	1981	3440.00	0
205	IRE	1982	3480.00	0
205	IRE	1983	3504.00	0
205	IRE	1984	3529.00	0
205	IRE	1985	3540.00	0
205	IRE	1986	3541.00	0
205	IRE	1987	3543.00	0
205	IRE	1988	3538.00	0
205	IRE	1989	3515.00	0
205	IRE	1990	3503.00	0
205	IRE	1991	3526.00	0
205	IRE	1992	3549.00	0
205	IRE	1993	3574.00	0
205	IRE	1994	3586.00	0
205	IRE	1995	3601.00	0
205	IRE	1996	3626.00	0
205	IRE	1997	3661.00	0
205	IRE	1998	3681.00	0
205	IRE	1999	3705.00	0
205	IRE	2000	3730.00	0
205	IRE	2001	3730.00	0
205	IRE	2002	3730.00	3
205	IRE	2003	3730.00	3
205	IRE	2004	3730.00	3
210	NTH	1816	5610.00	0
210	NTH	1817	5672.00	0
210	NTH	1818	5721.00	0
210	NTH	1819	5788.00	0
210	NTH	1820	5845.00	0
210	NTH	1821	5898.00	0
210	NTH	1822	5940.00	0
210	NTH	1823	5986.00	0
210	NTH	1824	6032.00	0
210	NTH	1825	6097.00	0
210	NTH	1826	6153.00	0
210	NTH	1827	6207.00	0
210	NTH	1828	6280.00	0
210	NTH	1829	6344.00	0
210	NTH	1830	6427.00	0
210	NTH	1831	2707.00	0
210	NTH	1832	2738.00	0
210	NTH	1833	2750.00	0
210	NTH	1834	2771.00	0
210	NTH	1835	2793.00	0
210	NTH	1836	2804.00	0
210	NTH	1837	2826.00	0
210	NTH	1838	2853.00	0
210	NTH	1839	2861.00	0
210	NTH	1840	2880.00	0
210	NTH	1841	2910.00	0
210	NTH	1842	2940.00	0
210	NTH	1843	2970.00	0
210	NTH	1844	3000.00	0
210	NTH	1845	3040.00	0
210	NTH	1846	3060.00	0
210	NTH	1847	3050.00	0
210	NTH	1848	3050.00	0
210	NTH	1849	3060.00	0
210	NTH	1850	3000.00	0
210	NTH	1851	3050.00	0
210	NTH	1852	3140.00	0
210	NTH	1853	3150.00	0
210	NTH	1854	3180.00	0
210	NTH	1855	3210.00	0
210	NTH	1856	3230.00	0
210	NTH	1857	3270.00	0
210	NTH	1858	3290.00	0
210	NTH	1859	3310.00	0
210	NTH	1860	3320.00	0
210	NTH	1861	3350.00	0
210	NTH	1862	3390.00	0
210	NTH	1863	3430.00	0
210	NTH	1864	3470.00	0
210	NTH	1865	3510.00	0
210	NTH	1866	3540.00	0
210	NTH	1867	3570.00	0
210	NTH	1868	3610.00	0
210	NTH	1869	3610.00	0
210	NTH	1870	3600.00	0
210	NTH	1871	3630.00	0
210	NTH	1872	3660.00	0
210	NTH	1873	3690.00	0
210	NTH	1874	3740.00	0
210	NTH	1875	3790.00	0
210	NTH	1876	3840.00	0
210	NTH	1877	3890.00	0
210	NTH	1878	3950.00	0
210	NTH	1879	4010.00	0
210	NTH	1880	4050.00	0
210	NTH	1881	4090.00	0
210	NTH	1882	4140.00	0
210	NTH	1883	4200.00	0
210	NTH	1884	4250.00	0
210	NTH	1885	4310.00	0
210	NTH	1886	4360.00	0
210	NTH	1887	4420.00	0
210	NTH	1888	4480.00	0
210	NTH	1889	4530.00	0
210	NTH	1890	4540.00	0
210	NTH	1891	4590.00	0
210	NTH	1892	4650.00	0
210	NTH	1893	4700.00	0
210	NTH	1894	4760.00	0
210	NTH	1895	4830.00	0
210	NTH	1896	4890.00	0
210	NTH	1897	4970.00	0
210	NTH	1898	5040.00	0
210	NTH	1899	5110.00	0
210	NTH	1900	5160.00	0
210	NTH	1901	5220.00	0
210	NTH	1902	5300.00	0
210	NTH	1903	5390.00	0
210	NTH	1904	5470.00	0
210	NTH	1905	5550.00	0
210	NTH	1906	5630.00	0
210	NTH	1907	5710.00	0
210	NTH	1908	5790.00	0
210	NTH	1909	5840.00	0
210	NTH	1910	5900.00	0
210	NTH	1911	5980.00	0
210	NTH	1912	6070.00	0
210	NTH	1913	6160.00	0
210	NTH	1914	6280.00	0
210	NTH	1915	6390.00	0
210	NTH	1916	6520.00	0
210	NTH	1917	6650.00	0
210	NTH	1918	6750.00	0
210	NTH	1919	6800.00	0
210	NTH	1920	6850.00	0
210	NTH	1921	6920.00	0
210	NTH	1922	7030.00	0
210	NTH	1923	7150.00	0
210	NTH	1924	7260.00	0
210	NTH	1925	7360.00	0
210	NTH	1926	7470.00	0
210	NTH	1927	7580.00	0
210	NTH	1928	7680.00	0
210	NTH	1929	7780.00	0
210	NTH	1930	7880.00	0
210	NTH	1931	8000.00	0
210	NTH	1932	8120.00	0
210	NTH	1933	8240.00	0
210	NTH	1934	8340.00	0
210	NTH	1935	8430.00	0
210	NTH	1936	8520.00	0
210	NTH	1937	8600.00	0
210	NTH	1938	8680.00	0
210	NTH	1939	8780.00	0
210	NTH	1940	8880.00	0
210	NTH	1941	8923.00	1
210	NTH	1942	9008.00	1
210	NTH	1943	9076.00	1
210	NTH	1944	9129.00	1
210	NTH	1945	9260.00	0
210	NTH	1946	9400.00	0
210	NTH	1947	9630.00	0
210	NTH	1948	9800.00	0
210	NTH	1949	9956.00	0
210	NTH	1950	10114.00	0
210	NTH	1951	10264.00	0
210	NTH	1952	10382.00	0
210	NTH	1953	10493.00	0
210	NTH	1954	10615.00	0
210	NTH	1955	10751.00	0
210	NTH	1956	10889.00	0
210	NTH	1957	11021.00	0
210	NTH	1958	11186.00	0
210	NTH	1959	11346.00	0
210	NTH	1960	11480.00	0
210	NTH	1961	11637.00	0
210	NTH	1962	11797.00	0
210	NTH	1963	11967.00	0
210	NTH	1964	12124.00	0
210	NTH	1965	12292.00	0
210	NTH	1966	12455.00	0
210	NTH	1967	12597.00	0
210	NTH	1968	12725.00	0
210	NTH	1969	12873.00	0
210	NTH	1970	13032.00	0
210	NTH	1971	13194.00	0
210	NTH	1972	13330.00	0
210	NTH	1973	13438.00	0
210	NTH	1974	13541.00	0
210	NTH	1975	13653.00	0
210	NTH	1976	13770.00	0
210	NTH	1977	13853.00	0
210	NTH	1978	13937.00	0
210	NTH	1979	14030.00	0
210	NTH	1980	14144.00	0
210	NTH	1981	14246.00	0
210	NTH	1982	14310.00	0
210	NTH	1983	14362.00	0
210	NTH	1984	14420.00	0
210	NTH	1985	14484.00	0
210	NTH	1986	14564.00	0
210	NTH	1987	14665.00	0
210	NTH	1988	14758.00	0
210	NTH	1989	14849.00	0
210	NTH	1990	14952.00	0
210	NTH	1991	15070.00	0
210	NTH	1992	15184.00	0
210	NTH	1993	15290.00	0
210	NTH	1994	15383.00	0
210	NTH	1995	15459.00	0
210	NTH	1996	15531.00	0
210	NTH	1997	15604.00	0
210	NTH	1998	15678.00	0
210	NTH	1999	15735.00	0
210	NTH	2000	15786.00	0
210	NTH	2001	15787.00	0
210	NTH	2002	15788.00	3
210	NTH	2003	15789.00	3
210	NTH	2004	15790.00	3
211	BEL	1830	4077.00	0
211	BEL	1831	4090.00	0
211	BEL	1832	4103.00	0
211	BEL	1833	4150.00	0
211	BEL	1834	4197.00	0
211	BEL	1835	4209.00	0
211	BEL	1836	4243.00	0
211	BEL	1837	4273.00	0
211	BEL	1838	4318.00	0
211	BEL	1839	4035.00	0
211	BEL	1840	4073.00	0
211	BEL	1841	4138.00	0
211	BEL	1842	4173.00	0
211	BEL	1843	4214.00	0
211	BEL	1844	4258.00	0
211	BEL	1845	4299.00	0
211	BEL	1846	4337.00	0
211	BEL	1847	4338.00	0
211	BEL	1848	4359.00	0
211	BEL	1849	4380.00	0
211	BEL	1850	4426.00	0
211	BEL	1851	4473.00	0
211	BEL	1852	4516.00	0
211	BEL	1853	4549.00	0
211	BEL	1854	4585.00	0
211	BEL	1855	4607.00	0
211	BEL	1856	4529.00	0
211	BEL	1857	4577.00	0
211	BEL	1858	4623.00	0
211	BEL	1859	4671.00	0
211	BEL	1860	4732.00	0
211	BEL	1861	4782.00	0
211	BEL	1862	4837.00	0
211	BEL	1863	4893.00	0
211	BEL	1864	4940.00	0
211	BEL	1865	4984.00	0
211	BEL	1866	4828.00	0
211	BEL	1867	4898.00	0
211	BEL	1868	4962.00	0
211	BEL	1869	5021.00	0
211	BEL	1870	5088.00	0
211	BEL	1871	5114.00	0
211	BEL	1872	5175.00	0
211	BEL	1873	5254.00	0
211	BEL	1874	5337.00	0
211	BEL	1875	5403.00	0
211	BEL	1876	5336.00	0
211	BEL	1877	5413.00	0
211	BEL	1878	5477.00	0
211	BEL	1879	5537.00	0
211	BEL	1880	5520.00	0
211	BEL	1881	5586.00	0
211	BEL	1882	5655.00	0
211	BEL	1883	5721.00	0
211	BEL	1884	5785.00	0
211	BEL	1885	5853.00	0
211	BEL	1886	5910.00	0
211	BEL	1887	5975.00	0
211	BEL	1888	6030.00	0
211	BEL	1889	6094.00	0
211	BEL	1890	6069.00	0
211	BEL	1891	6136.00	0
211	BEL	1892	6195.00	0
211	BEL	1893	6262.00	0
211	BEL	1894	6342.00	0
211	BEL	1895	6411.00	0
211	BEL	1896	6496.00	0
211	BEL	1897	6587.00	0
211	BEL	1898	6670.00	0
211	BEL	1899	6745.00	0
211	BEL	1900	6694.00	0
211	BEL	1901	6800.00	0
211	BEL	1902	6896.00	0
211	BEL	1903	6985.00	0
211	BEL	1904	7075.00	0
211	BEL	1905	7161.00	0
211	BEL	1906	7239.00	0
211	BEL	1907	7318.00	0
211	BEL	1908	7386.00	0
211	BEL	1909	7452.00	0
211	BEL	1910	7424.00	0
211	BEL	1911	7490.00	0
211	BEL	1912	7571.00	0
211	BEL	1913	7639.00	0
211	BEL	1914	7684.00	0
211	BEL	1915	7709.00	0
211	BEL	1916	7692.00	0
211	BEL	1917	7642.00	0
211	BEL	1918	7556.00	0
211	BEL	1919	7577.00	0
211	BEL	1920	7406.00	0
211	BEL	1921	7482.00	0
211	BEL	1922	7540.00	0
211	BEL	1923	7607.00	0
211	BEL	1924	7684.00	0
211	BEL	1925	7812.00	0
211	BEL	1926	7875.00	0
211	BEL	1927	7932.00	0
211	BEL	1928	8003.00	0
211	BEL	1929	8060.00	0
211	BEL	1930	8092.00	0
211	BEL	1931	8159.00	0
211	BEL	1932	8213.00	0
211	BEL	1933	8248.00	0
211	BEL	1934	8276.00	0
211	BEL	1935	8300.00	0
211	BEL	1936	8331.00	0
211	BEL	1937	8361.00	0
211	BEL	1938	8387.00	0
211	BEL	1939	8396.00	0
211	BEL	1940	8295.00	0
211	BEL	1941	8327.40	2
211	BEL	1942	8257.40	1
211	BEL	1943	8238.40	1
211	BEL	1944	8242.90	1
211	BEL	1945	8344.00	0
211	BEL	1946	8389.00	0
211	BEL	1947	8512.00	0
211	BEL	1948	8557.00	0
211	BEL	1949	8614.00	0
211	BEL	1950	8639.00	0
211	BEL	1951	8678.00	0
211	BEL	1952	8730.00	0
211	BEL	1953	8778.00	0
211	BEL	1954	8819.00	0
211	BEL	1955	8868.00	0
211	BEL	1956	8924.00	0
211	BEL	1957	8989.00	0
211	BEL	1958	9053.00	0
211	BEL	1959	9104.00	0
211	BEL	1960	9153.00	0
211	BEL	1961	9217.00	0
211	BEL	1962	9221.00	0
211	BEL	1963	9290.00	0
211	BEL	1964	9378.00	0
211	BEL	1965	9464.00	0
211	BEL	1966	9528.00	0
211	BEL	1967	9581.00	0
211	BEL	1968	9619.00	0
211	BEL	1969	9646.00	0
211	BEL	1970	9656.00	0
211	BEL	1971	9673.00	0
211	BEL	1972	9709.00	0
211	BEL	1973	9738.00	0
211	BEL	1974	9768.00	0
211	BEL	1975	9795.00	0
211	BEL	1976	9811.00	0
211	BEL	1977	9822.00	0
211	BEL	1978	9830.00	0
211	BEL	1979	9837.00	0
211	BEL	1980	9847.00	0
211	BEL	1981	9852.00	0
211	BEL	1982	9856.00	0
211	BEL	1983	9856.00	0
211	BEL	1984	9855.00	0
211	BEL	1985	9858.00	0
211	BEL	1986	9862.00	0
211	BEL	1987	9870.00	0
211	BEL	1988	9902.00	0
211	BEL	1989	9938.00	0
211	BEL	1990	9967.00	0
211	BEL	1991	9979.00	0
211	BEL	1992	10055.00	0
211	BEL	1993	10084.00	0
211	BEL	1994	10116.00	0
211	BEL	1995	10137.00	0
211	BEL	1996	10159.00	0
211	BEL	1997	10188.00	0
211	BEL	1998	10141.00	0
211	BEL	1999	10152.00	0
211	BEL	2000	10161.00	0
211	BEL	2001	10161.00	0
211	BEL	2002	10281.55	3
211	BEL	2003	10300.14	3
211	BEL	2004	10318.76	3
212	LUX	1867	198.17	2
212	LUX	1868	198.96	2
212	LUX	1869	199.76	2
212	LUX	1870	200.56	2
212	LUX	1871	201.37	2
212	LUX	1872	202.18	2
212	LUX	1873	202.99	2
212	LUX	1874	203.80	2
212	LUX	1875	204.62	2
212	LUX	1876	205.44	2
212	LUX	1877	206.27	2
212	LUX	1878	207.10	2
212	LUX	1879	207.93	2
212	LUX	1880	208.76	2
212	LUX	1881	209.60	1
212	LUX	1882	210.33	2
212	LUX	1883	211.07	2
212	LUX	1884	211.81	2
